symbol,bucket,confidence,source,etf_count,etfs,enabled,updated_utc
SE,core_ai,1.0,etf,1,PNQI,1,2026-05-28T07:07:45.284376+00:00
SHOP,core_ai,1.0,etf,1,PNQI,1,2026-05-28T07:07:45.284376+00:00
SITM,core_ai,1.0,etf,1,XSD,1,2026-05-28T07:07:45.284376+00:00
SMCI,core_ai,1.0,etf,1,IRBO,1,2026-05-28T07:07:45.284376+00:00
SMTC,core_ai,1.0,etf,1,XSD,1,2026-05-28T07:07:45.284376+00:00
SNDK,core_ai,1.0,etf,2,"IGM,WTAI",1,2026-05-28T07:07:45.284376+00:00
SNOW,core_ai,1.0,etf,1,FDN,1,2026-05-28T07:07:45.284376+00:00
SNPS,core_ai,1.0,etf,3,"IGV,ROBT,SMH",1,2026-05-28T07:07:45.284376+00:00
SPOT,core_ai,1.0,etf,1,PNQI,1,2026-05-28T07:07:45.284376+00:00
STM,core_ai,1.0,etf,1,SMH,1,2026-05-28T07:07:45.284376+00:00
STX,core_ai,1.0,etf,3,"AIQ,IGM,IRBO",1,2026-05-28T07:07:45.284376+00:00
SWKS,core_ai,1.0,etf,2,"SMH,XSD",1,2026-05-28T07:07:45.284376+00:00
SYM,core_ai,1.0,etf,2,"ARKQ,BOTZ",1,2026-05-28T07:07:45.284376+00:00
SYNA,core_ai,1.0,etf,1,XSD,1,2026-05-28T07:07:45.284376+00:00
TDY,core_ai,1.0,etf,1,KOMP,1,2026-05-28T07:07:45.284376+00:00
TEAM,core_ai,1.0,etf,1,IGV,1,2026-05-28T07:07:45.284376+00:00
TER,core_ai,1.0,etf,5,"ARKQ,SMH,SOXQ,SOXX,WTAI",1,2026-05-28T07:07:45.284376+00:00
TRMB,core_ai,1.0,etf,1,ARKQ,1,2026-05-28T07:07:45.284376+00:00
TSLA,core_ai,1.0,etf,3,"AIQ,ARKQ,BOTZ",1,2026-05-28T07:07:45.284376+00:00
TSM,core_ai,1.0,etf,6,"AIQ,ARKQ,SMH,SOXQ,SOXX,WTAI",1,2026-05-28T07:07:45.284376+00:00
TTWO,core_ai,1.0,etf,1,IGV,1,2026-05-28T07:07:45.284376+00:00
TWLO,core_ai,1.0,etf,1,PNQI,1,2026-05-28T07:07:45.284376+00:00
TWST,core_ai,1.0,etf,1,KOMP,1,2026-05-28T07:07:45.284376+00:00
TXN,core_ai,1.0,etf,5,"IGM,SMH,SOXQ,SOXX,XSD",1,2026-05-28T07:07:45.284376+00:00
UBER,core_ai,1.0,etf,1,PNQI,1,2026-05-28T07:07:45.284376+00:00
UPST,core_ai,1.0,etf,1,ROBT,1,2026-05-28T07:07:45.284376+00:00
VEEV,core_ai,1.0,etf,1,FDN,1,2026-05-28T07:07:45.284376+00:00
VRSN,core_ai,1.0,etf,2,"FDN,PNQI",1,2026-05-28T07:07:45.284376+00:00
VRT,core_ai,1.0,etf,1,WTAI,1,2026-05-28T07:07:45.284376+00:00
VUZI,core_ai,1.0,etf,1,KOMP,1,2026-05-28T07:07:45.284376+00:00
WDAY,core_ai,1.0,etf,2,"FDN,IGV",1,2026-05-28T07:07:45.284376+00:00
WDC,core_ai,1.0,etf,1,IRBO,1,2026-05-28T07:07:45.284376+00:00
XPEV,core_ai,1.0,etf,1,BOTZ,1,2026-05-28T07:07:45.284376+00:00
ZM,core_ai,1.0,etf,2,"FDN,IGV",1,2026-05-28T07:07:45.284376+00:00
ZS,core_ai,1.0,etf,1,IGV,1,2026-05-28T07:07:45.284376+00:00
